img1,img2,total_votes,entropy,draw_rate
img_00002_patch_2.png,img_00583_patch_1.png,3,0.0,0.0
img_00002_patch_2.png,img_00589_patch_3.png,2,0.0,0.0
img_00002_patch_3.png,img_00008_patch_5.png,1,0.0,0.0
img_00002_patch_3.png,img_00170_patch_1.png,1,0.0,0.0
img_00002_patch_3.png,img_00250_patch_8.png,1,0.0,0.0
img_00002_patch_3.png,img_00365_patch_2.png,1,0.0,0.0
img_00002_patch_3.png,img_00388_patch_4.png,11,0.0,0.0
img_00002_patch_3.png,img_00408_patch_2.png,1,0.0,0.0
img_00002_patch_3.png,img_00431_patch_1.png,1,0.0,0.0
img_00002_patch_3.png,img_00443_patch_0.png,1,0.0,0.0
img_00002_patch_3.png,img_00711_patch_5.png,10,0.0,0.0
